jobId,employerId,hourlyRate,startTime,endTime,daysToWork,educationRequirement
0,379,10,46:00.0,46:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
1,379,22.21763336,31:00.0,31:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
2,380,10,00:00.0,00:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
3,380,15.31207064,39:00.0,39:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
4,381,21.35540929,53:00.0,53:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
5,381,12.09382569,13:00.0,13:00.0,"[Monday,Sunday,Thursday,Tuesday,Saturday]",HighSchoolOrCollege
6,381,21.84618702,36:00.0,36:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
7,381,18.71319307,47:00.0,47:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Low
8,382,13.37043245,45:00.0,45:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
9,382,24.52833044,19:00.0,19:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
10,382,12.04070302,19:00.0,19:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
11,382,11.01125212,19:00.0,19:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
12,382,21.87043088,27:00.0,27:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
13,382,16.77235998,16:00.0,16:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
14,382,12.95747348,32:00.0,32:00.0,"[Saturday,Monday,Thursday,Tuesday,Friday]",HighSchoolOrCollege
15,382,10,03:00.0,03:00.0,"[Wednesday,Thursday,Friday,Saturday,Sunday]",HighSchoolOrCollege
16,382,17.48234438,00:00.0,00:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
17,383,10,08:00.0,08:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
18,383,25.30680549,46:00.0,46:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
19,383,16.99896768,37:00.0,37:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
20,383,19.93160497,09:00.0,09:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
21,383,70.92855288,34:00.0,34:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
22,383,11.74638187,26:00.0,26:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
23,383,28.71708247,23:00.0,23:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
24,383,75.11437877,30:00.0,30:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
25,384,22.88711192,36:00.0,36:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
26,384,20.51266643,13:00.0,13:00.0,"[Friday,Monday,Saturday,Wednesday,Sunday]",Low
27,384,31.92911801,43:00.0,43:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
28,385,39.91200668,52:00.0,52:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
29,385,36.94832026,56:00.0,56:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
30,385,21.91088599,28:00.0,28:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
31,385,10,00:00.0,00:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
32,385,12.62548487,48:00.0,48:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
33,385,10,26:00.0,26:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
