Y axis,X axis,pointNum,buildingId,maxOccupancy
2769.868085707,-1668.649136440,6,675,3
5495.807441805,-3950.047851385,10,285,85
4919.318634235,-1593.377618697,6,683,9
3851.992959619,-223.930474915,11,585,60
5814.245157914,-2911.627566917,3,536,3
5307.478031059,-26.265304152,3,10,5
3276.515681083,1625.424165918,6,682,3
1246.104555653,837.077480382,3,630,0
5233.887479259,-658.179633987,5,68,0
4399.184769021,2179.789998611,8,921,7
6511.805277792,-2766.600140213,3,659,0
5257.119267286,-764.994152370,2,1016,0
5600.143600507,-707.342583349,3,148,0
1847.377795475,735.968850867,3,918,0
5957.034767819,-3438.687425173,4,442,5
4905.279086350,-1746.403236404,7,886,0
1314.547092546,-1199.332722641,4,722,2
5168.079106546,-2279.870395717,1,781,0
6451.525958047,-2813.081541821,3,500,0
4921.248839833,-1553.442056787,7,683,9
7675.747806062,-3236.486307135,2,226,5
3572.726728111,1259.306198876,1,5,2
4919.195108836,-1593.389488129,12,683,9
1350.739045200,15.589496570,5,936,0
1202.840050631,-401.343629487,4,167,5
2512.527937919,-2361.873261132,6,959,5
3551.638907098,-1022.527071421,5,703,2
4291.238636662,2197.770612758,8,107,0
4513.212009883,1659.470594036,10,424,0
2827.112734647,-2305.384413412,7,131,14
5807.745435907,-1479.924653420,1,891,0
4408.874287315,1248.898873594,2,273,0
6556.924352302,-2693.766912850,1,659,0
3961.524064554,-458.536430017,3,171,0
2234.762804221,649.210054964,8,218,0
5023.136343690,-1842.399091989,3,348,0
622.220309976,1033.596331686,1,265,4
4853.425453663,-2270.706359020,1,483,17
1344.841800974,211.350481688,6,381,2
6742.708647587,-3726.666532404,7,788,0
5421.185575556,-598.001132905,13,148,0
1165.842336203,23.636742577,1,319,4
4537.879930150,-875.866867015,5,132,0
5269.708464696,-1860.530726734,4,333,0
4765.340630264,-4605.628524951,4,913,10
4447.392978438,-864.886030237,2,86,85
2990.044697746,-966.793033728,2,655,12
4947.712155958,-4563.733599344,5,95,17
4062.558525679,1560.388973319,8,125,0
5073.294084734,2407.405327859,4,112,0
7147.128165386,-3776.846772187,6,867,18
5566.442516823,-762.937548967,4,1019,7
3299.132216767,1389.076057781,3,934,12
7035.951006889,-3778.087922395,3,568,1
2429.699478315,640.084840002,7,732,5
1845.821672384,-572.992417561,5,43,6
5393.820979888,1726.046019882,4,469,11
1205.486007328,1254.623008030,4,317,0
7460.015349054,-3338.214335872,4,562,5
1500.640310214,1010.355729662,5,919,4
3851.992959619,-223.930474915,1,585,60
5387.371489024,-516.662226848,11,148,0
97.643935646,10.954211375,4,628,4
4040.773053528,2298.414302502,2,377,8
7247.329177318,-3787.079131788,7,963,8
5230.370674546,-190.890982969,8,1003,16
4534.905807702,1648.749388382,2,382,0
6236.010933592,-3171.751302454,3,546,0
1459.922272721,548.004944669,4,699,9
5318.110676711,-1061.118989250,4,435,0
4520.995498945,-238.982736104,8,287,7
6842.799397268,-3630.547337566,3,583,0
4203.561170673,2437.371628655,1,263,0
4317.537061016,-1716.961361818,2,650,0
7201.286799260,-4546.135883063,1,104,0
841.325618117,-1664.134469527,16,405,6
6083.244647990,-1550.322099803,7,214,0
5875.909209881,-800.379521796,4,284,0
5097.547101708,-1069.817700267,5,72,0
5185.867141734,-4757.948345718,6,997,0
2399.251529934,864.670989882,4,671,0
4144.616704918,1747.883783352,6,125,0
3996.893691337,2121.899582068,5,980,9
1149.430527690,-1547.904341584,2,792,4
4050.440069147,50.684374736,14,289,0
5756.620759352,-1751.415911963,6,414,18
4920.768234004,-1686.011729135,6,1042,0
472.793279159,970.976006853,2,706,7
5705.134784716,-750.650661319,2,450,0
7524.758025922,-4210.958074829,4,616,12
5989.058040076,-700.503665560,8,978,14
3307.228074900,-1197.902420866,4,636,6
1630.705594859,-575.559093457,6,212,7
5579.543632944,-629.351605278,5,614,0
3644.944314526,-1725.597580607,1,844,15
3663.513929939,-1012.300324556,4,703,2
6482.028985763,-3867.415696097,4,390,13
7806.327611400,-3369.330945447,2,733,8
3951.258761701,-703.230241826,4,631,0
6545.156205704,-2981.936851806,7,908,9
4818.723566712,-1266.391256470,2,115,0
1210.100931939,734.474935651,8,789,0
1556.654573528,-1438.810517624,2,904,1
4124.033083425,-153.051235772,4,555,0
1227.111955420,-1318.316575335,5,359,7
3297.667658515,1147.707932787,1,355,0
1030.680779134,673.915051118,1,257,0
6052.296179275,-575.409724471,4,929,12
1337.755612154,-888.372789486,10,256,0
4676.952233989,57.590144251,10,745,0
6042.682405853,-1273.016547762,2,727,0
1434.380299004,-1475.553732104,7,904,1
4373.744968719,321.150898810,8,1038,8
2554.977290702,-2510.545931517,3,824,11
6831.273831814,-2671.668199528,9,581,4
1381.222227144,-985.671092131,1,952,4
5231.266501445,-180.883239789,9,1003,16
1659.814061072,544.566405063,2,1009,0
1960.977422760,587.848194197,3,497,7
1213.521597196,-1436.946065386,6,359,7
5715.391576964,-3849.642438804,4,1028,0
4490.125438851,-741.234757090,6,78,7
4115.581227793,2453.299359083,2,94,10
616.331477907,-1960.818204968,2,7,0
4651.981150936,500.085861477,8,229,0
3890.158731384,-570.666151535,1,171,0
1490.437301751,692.456721113,5,159,0
5790.461738977,-4058.561335060,2,376,14
4686.889236261,-2083.098167305,3,853,0
6332.746445211,-3302.370500778,9,686,0
2065.747223347,615.518014687,2,760,1
2690.272068726,-1926.789062922,7,460,0
3038.013313711,623.579729389,5,771,2
5423.469371506,-848.467264779,5,780,0
2726.762018121,-2176.614536134,6,366,5
3060.072724976,-1951.899240753,2,820,0
3278.321476919,1379.202058746,4,189,7
3351.065932733,-1256.704569716,2,924,8
4339.445242914,-1921.661997121,8,573,0
6587.360487824,-2816.980677093,1,908,9
1539.134626555,552.636208752,9,699,9
3257.955514247,-2280.512149199,6,297,0
4353.860940546,-1163.148087970,5,158,6
4873.541595381,1328.038588118,10,519,3
1599.262090953,541.262738609,13,58,119
4301.833803548,1266.300511810,5,273,0
3777.263753597,-783.893155238,3,286,11
6308.843938744,-3596.520811136,11,406,0
5309.653723931,-588.609719787,11,356,0
5135.626524336,-1725.627224183,10,275,0
4491.411674551,2255.037374766,3,750,3
7348.268123595,-3451.669836921,13,346,9
4437.225738703,-1139.843074487,3,205,0
2138.453408888,675.426527594,4,760,1
4757.264471639,295.508040951,1,114,19
3577.070679833,1360.315382530,7,134,3
4584.474830393,304.773578214,3,938,0
2657.225895667,634.240351508,3,365,0
2116.476504596,-1382.323402842,3,809,6
4906.989794130,-1097.497574015,6,190,0
731.878999490,-1850.899586244,1,195,2
3499.931781711,-210.786704573,5,193,1
4475.998561969,-1427.197489628,3,422,0
5058.391088160,-655.222161269,5,773,0
3981.503490592,-461.219560420,4,325,8
4208.862561524,-2176.533437398,7,930,0
5670.080986895,-4237.677229014,2,186,15
4095.552177221,340.215220010,2,481,1
5297.589092736,-5.916768334,3,833,5
3666.513232867,566.241712380,5,395,0
4421.407320026,1279.066021596,1,33,6
5334.921078396,-648.977946898,7,767,0
691.835727999,-1416.018855443,5,459,0
1885.791852996,-571.448182518,2,43,6
6690.279740269,-2800.545015313,3,715,0
1678.532641126,-159.397263169,7,215,0
5387.568564796,-414.631852804,6,1035,0
6429.842775558,-3327.296197063,4,283,11
3700.822888622,1190.270941083,6,323,0
7090.113790785,-4465.647364056,4,737,11
3773.444070707,-969.557055699,1,254,0
1675.073419075,-372.159520129,4,370,0
5263.182866197,-1057.064482153,8,729,0
5237.019361854,1832.754596119,7,571,2
5157.508564945,-4640.735188480,3,123,384
2080.108453052,789.755557685,6,146,0
3953.123932596,-1195.075461973,3,951,11
4777.734633849,-717.138405047,9,626,0
4558.945474612,-179.031524951,4,332,10
3715.555665724,899.837174243,5,320,0
1470.771256441,-148.044934677,2,752,6
5892.432443756,-1480.536467536,2,891,0
3394.203769839,-1907.132133944,10,820,0
